절ID,장번호,장제목,절순번,절제목,시작행,끝행,비고
51-3,51,이사청 설치와 민단법 실시,3,재류민 또 소동을 피우다,671,672,
52-1,52,"제반 행정개혁, 백화 일시에 피다",1,소송대리업자,675,678,
52-2,52,"제반 행정개혁, 백화 일시에 피다",2,한국기업공채,680,681,
52-3,52,"제반 행정개혁, 백화 일시에 피다",3,교육기관 개선,683,685,
52-4,52,"제반 행정개혁, 백화 일시에 피다",4,재판소 제도,686,688,
53-0,53,민단법 실시와 소학교 건축,0,민단법 실시와 소학교 건축(장서두),690,691,장서두
53-1,53,민단법 실시와 소학교 건축,1,민단 설립 위원,692,693,
53-2,53,민단법 실시와 소학교 건축,2,이와세의 분주,695,696,
53-3,53,민단법 실시와 소학교 건축,3,대구농회 설립,698,703,
53-4,53,민단법 실시와 소학교 건축,4,요배전 낙성,704,705,
54-0,54,영남제일관과 바한센 이야기,0,영남제일관과 바한센 이야기(장서두),708,709,장서두
54-1,54,영남제일관과 바한센 이야기,1,대구성의 유래,710,712,
54-2,54,영남제일관과 바한센 이야기,2,겁 없는 해적선,713,714,
54-3,54,영남제일관과 바한센 이야기,3,삼포의 개항장,716,717,
54-4,54,영남제일관과 바한센 이야기,4,사이고 다카모리의 분노,719,721,
